musteri_id,yas,kategori,fiyat,miktar,harcama
1001,56.0,Kozmetik,790.34,2,1580.68
1002,46.0,Giyim,445.94,5,2229.7
1003,32.0,Elektronik,570.48,1,570.48
1004,60.0,Ev & Yaşam,1897.04,2,3794.08
1005,25.0,Kitap,904.7,5,4523.5
1006,38.0,Ev & Yaşam,1520.65,4,6082.6
1007,56.0,Ev & Yaşam,2063.33,2,4126.66
1008,36.0,Elektronik,2792.54,2,5585.08
1009,40.0,Ev & Yaşam,253.32,4,1013.28
1010,28.0,Kitap,3217.7,3,9653.099999999999
1011,28.0,Elektronik,2548.81,1,2548.81
1012,41.0,Giyim,418.86,3,1256.58
1013,53.0,Kozmetik,3506.96,5,17534.8
1014,57.0,Ev & Yaşam,3691.4,4,14765.6
1015,41.0,Ev & Yaşam,338.2,3,1014.5999999999999
1016,20.0,Ev & Yaşam,1179.82,2,2359.64
1017,39.0,Giyim,3244.18,5,16220.9
1018,19.0,Elektronik,3018.21,5,15091.05
1019,41.0,Kozmetik,819.63,3,2458.89
1020,61.0,Kozmetik,916.46,3,2749.38
1021,47.0,Kozmetik,1544.84,4,6179.36
1022,55.0,Kitap,1989.64,1,1989.64
1023,19.0,Giyim,2511.19,3,7533.57
1024,38.0,Giyim,1538.76,3,4616.28
1025,50.0,Kozmetik,1903.89,2,3807.78
1026,29.0,Ev & Yaşam,3015.14,5,15075.699999999999
1027,39.0,Ev & Yaşam,243.06,1,243.06
1028,61.0,Kozmetik,1084.5,2,2169.0
1029,42.0,Kozmetik,2882.06,4,11528.24
1030,44.0,Giyim,3591.31,4,14365.24
1031,59.0,Giyim,2095.54,3,6286.62
1032,45.0,Elektronik,2175.24,3,6525.719999999999
1033,33.0,Ev & Yaşam,517.97,4,2071.88
1034,32.0,Elektronik,1844.91,3,5534.7300000000005
1035,64.0,Giyim,2177.21,1,2177.21
1036,61.0,Giyim,1045.63,3,3136.8900000000003
1037,20.0,Elektronik,1150.05,5,5750.25
1038,54.0,Ev & Yaşam,1571.41,3,4714.2300000000005
1039,24.0,Elektronik,178.28,2,356.56
1040,38.0,Elektronik,1356.11,1,1356.11
1041,26.0,Kozmetik,924.65,2,1849.3
1042,56.0,Giyim,1377.24,2,2754.48
1043,35.0,Elektronik,567.07,5,2835.3500000000004
